sub_query,rerank_score,score,source,document_id,revision,chunk_index,title,page,text_content
version control system for technical documentation,,0.398139417,D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf,D54978,5,152,2. “Ethos Radiotherapy System ” > 9.12 Singapore > 8.12.1 Singapore documentation requirements,69-70,"Change type 2Ai (Technical) Documentation Required Comment Design verification and validation N/A Risk analysis N/A Clinical evidence (if applicable) N/A Device labels (original, redlined and proposed) N/A Detailed summary of software changes (can be included in the Annex 2, Summary Table of Change). To include information on the incremental changes or revisions to the software from the registered software version. To provide the final software version to be supplied in Singapore. Note: The final software version that represents all software changes/iteration (e.g. graphic interface, functionality, bug fixes and etc.) should be provided. Software version Regulatory Plan Revision Doc Number 5.0 D54978 Varian Confidential REG0504F01 Rev 05 This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Page 70 of 83"
version control system for technical documentation,,0.36213395,D67731 HAL 4.0 Design History File Index Rev 05.docx.pdf,D67731,5,26,1. Introduction > 1.1 Scope,13-14,"This DHFI lists all required project documentation for the released version of the devices indicated on the front page of this document. The documentation is referenced with the title, identification number, revision number (if a document has multiple revisions) and the location where it is physically or electronically stored. The HAL 4.0 DHF is located in the document control system nucleus (Nucleus>Business Workgroups>DHF>Delivery Systems>Halcyon>4.0) HAL 4.0 Design History File Index This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date date of last D67731 05 eSign Format L00003436 Rev 03   Page 14 of 55"
version control system for technical documentation,,0.359704226,D23997 Halcyon v2 Design and Development Plan Rev 01.pdf,D23997,2,58,3.4 Project Risk Management (Continued),35,"This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc NumberRev.Date Date of last e- D2399701 signature Format LL00000106 Rev 08Page 35 of 43 5.Technical Process This section describes the technical methods, tools, and techniques to be used. 5.1Tools LL127 Validation Master Plan Inventory lists the tools which will be used for the design and development of this project.  Halcyon v2 will use the following additional tools:  SolidWorks CAD and Analysis Tools  SAP CAD Integration  Cost Analytics – Business Tool – no validation required.  Zuken electrical interconnect  TFS based ADLM will be tested on a trial basis as a replacement to the current PLC toolset (ReqPro, ClearQuest, Quality Center). These additional tools will be validated and the validation reports filed in the project DHF. 5.2Software Configuration Management"
version control system for technical documentation,,0.354929686,D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf,D54978,5,163,10. Responsibilities (Continued),73-74,"submissions documentation. Provides service documentation for product Field NPI Priti Kamat submissions/registrations. Thomas Jacob/Sirkku IEC Compliance Lead Vaarala/Tom Dwyer Determines applicable standards and works with external test houses to provide product test reports for submissions. Provides manufacturing documentation for Manufacturing Engineering Elf Du product submissions/registrations. Regulatory Plan Revision Doc Number 5.0 D54978 Varian Confidential REG0504F01 Rev 05 This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Page 74 of 83 Dependencies & Risks Risk Control Measure Comments NLS progess to be monitored during project. Ensure Tech Pubs is Local languages not available aware of the need for translations, decide which languages are needed, use software code that is able to be translated. For local language requirements, see section"
version control system for technical documentation,,0.346253961,D44918 Halcyon3 UA Checklist IFU Addendum P1038731-001-A Rev 01.pdf,D44918,1,11,2.0 Deliverable Checklist (Continued),4-5,"b. Archive supporting project material in Livelink (GPL Customer Documentations/GPL Review and Approval). Includes LL40 Review Form, Publication Notice, and UA Checklist. c. Include URL to archives in Justification column at right. Done Partially Done; justify: N/A; justify: \\pafs02\vol1\Dept\ TechPubs\TP_ARC\ Halcyon\3.0\ IFU_Addendum 05-Mar-2020 GPL User Assistance Checklist D44917 Halcyon and Ethos 3.0 UA Checklist IFU-Addendum (P1038731-001-A) Rev. 1.0 This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Date Doc Number Rev D44917 1.0 Last eSign date Format L5532 Rev 03  Page 5 of 5 Action Scope Description Resolution ID # Justification if Partially Done or N/A Date Optional: W ork with Design/Drafting and 29 Distribution Engineering Project Management to update the DMR (product structure). Done Partially Done; justify: N/A; justify:"
version control system for technical documentation,,0.344848305,D60152 HAL 4.0 Imaging SyDD Rev 02.pdf,D60152,2,164,3 phase > 2.3.5 kV-CBCT > 2.3.5.6 kV-CBCT Mode Editor > 2.3.5.6.4 Versioning support (Continued),59-60,"adding a piece of code that covers the new OM. HAL 4.0 Imaging Subsystem Design Description (SyDD) This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D60152 02 Date of last e-sign Page 60 of 272 DND06T03 Rev 01 • Add a new converter class (for example VMS.TI.Utility.CBCT.CBCTTemplate.ConfigConverter.VCBCTTemplateConverter_2_0_0_0__3_ 0_0_0) that implements the ICBCTTemplateConverter interface. This class would be responsible to perform the conversion of the CBCT templates from version 2_0_0_0 to latest version. Conversions are performed on the xml representation of the configuration file content. A chain of converters is used to migrate from older file versions into newer ones up to the current one. The output of the last converter shall be de-serializable using the latest object model."
version control system for technical documentation,,0.342624962,D96388 HAL 4.0 UA Legal Information (EU REP Change) UA Checklist Rev 01.docx.pdf,D96388,1,11,3.0 Checklist (Continued),4,"- 14 Oct 2025 Done Document Management 32. System With URL from #31, verify that the approved UA has been moved to the correct product folder in GPL Customer Documentation > Publications. - 14 Oct 2025 Done Publication Notice / 33. Distribution With URL from #31, complete, proof, and distribute the internal Publication Notice using Publication Notice template (DND0602T03) and per GPL Publication Notice distribution lists. Done -14 Oct 2025 DISTRIBUTION Publication / 34. Distribution Online Help only: Submit approved OLH files to N/A No OLH14 Oct 2025 engineering (per UAP). Update status in SAP (AP for approved) as applicable to N/A SAP -14 Oct 2025 35. project. Transmit approved UA to GPL Localization per its Done Localization  -14 Oct 2025 36. instructions. Product 37. Structure As appropriate to the product, work with Design/Drafting and Engineering Project Management to update the DMR (product structure). Done UA (DMR)14 Oct 2025 BOM 38."
version control system for technical documentation,,0.34205839,D68539 MPC 2.37 SBP Rev 01.pdf,D68539,1,24,2. ‘Retain’ > 3.7 Release Location,10-12,"Release location is the Baden build server at \\bafs1\Builds. The output folders are structured by the TFS project name and build described in the corresponding engineering release memo document. This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D68539 01 5 Aug 2022 Format L11404 Rev 01   Page 11 of 12 Appendix A: Abbreviations and Definitions Abbreviations Abbreviation Explanation BAT Build Acceptance Test ERM Engineering Release Memo TFS Microsoft Team Foundation Server This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D68539 01 5 Aug 2022 Format L11404 Rev 01   Page 12 of 12 Appendix B: References List of references: (1) Ruediger Hornig Software Versioning L6954 Rev. 02"
version control system for technical documentation,,0.34126237,D95424 HAL 4.0 MR2 (HAL Evolve) Maintenance Release Document Rev 04.pdf,D95424,4,86,5. Verification and Validation > 6.2 Traceability,39-40,"The trace matrix is updated with the changes in this release. Trace d Item ID Traced Item Short Descripti on Test ID Test Nam e Automati on Status Product Identifier/ Version Run ID Stat us Issue ID (Defect s) Design Descripti on ID 97767Software 8 Instructions for About box 18039 27 Halcy on Evolve about box Not Automated HAL40_SYSTEM_REL_04.0 0.2011 29836Passe 67d NANA HAL 4.0 MR2 (HAL Evolve) Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Last date of e- D95424 04 sign DND01F02 Rev 01 Page 40 of 42 conte nt"
version control system for technical documentation,,0.340369731,D23997 Halcyon v2 Design and Development Plan Rev 01.pdf,D23997,2,71,3.4 Project Risk Management > 6.1.2 Languages to be released with Halcyon v2 (Continued),39-41,"Represents the Technical Publications function on the team. Ensures that the user documentation is created and translated as appropriate Dirk Leatherman Worldwide SoftwareSubject matter experts (SME) in the clinical use of Varian products, the wwSQ representative is responsible for software Linda Schilling Halcyon v2 Design And Development Plan This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc NumberRev.Date Date of last e- D2399701 signature Format LL00000106 Rev 08Page 40 of 43 Quality (wwSQ)validation of the clinical workflow. Halcyon v2 Design And Development Plan This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc NumberRev.Date Date of last e- D2399701 signature Format LL00000106 Rev 08Page 41 of 43"
