sub_query,rerank_score,score,source,document_id,revision,chunk_index,title,page,text_content
medical device classification criteria by FDA,0.80332816,0.566651,D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf,D54978,5,9,4. Type of Device,5,"Product Code (US) / GMDN Country/Region Device Classification Reference/Regulation Number Code 21 CFR §892.5050 United States Class II IYE EU) 2017/745 Medical Devices Regulation EU (MDR) Class IIb (MDR) Annex VIII Classification Criteria, Rule 9 35159  (Accelerator System, Linear) Medical Device Regulations (SOR/98-282), Canada Class III Not applicable. Schedule 1, Rule 8 Pharmaceuticals and Medical Devices Japan Class III Act(PMD Act) Article2,Paragraph 5 35159000 (Accelerator System, Linear) NMPA Medical device classification category China Class III 05-01-01 (medical electron 2017 accelerator)"
medical device classification criteria by FDA,0.61912596,0.440188438,D58308 HAL 4.0 Device Description Rev 1.0.docx.pdf,D58308,1,3,1.0 Executive Summary > 1.2 Device Classification,3-4,"HAL delivers therapeutic radiation to the patient in accordance with the physician’s prescription Country/ Device Classification Reference/Regulation Number Region Product Code (US) / GMDN Code with Classification Name United States Class II 21 CFR §892.5050 IYE EU Class IIb Medical Device Directive 93/42/EEC, Annex IX, Rule 9 Medical Device Regulation (EU) 2017/745 Rule 9 35159 (Accelerator System, Linear) Canada Class III Medical Device Regulations (SOR/98-282), Schedule 1, Rule 8 Not applicable Japan Class III Pharmaceutical Affairs Law (PAL) Article 2, Paragraph 5 35159 (Accelerator System, Linear) China Class III Regulations for the Supervision and Administration of Medical Device, Chapter 1, Article 5 Not applicable Therapeutic Goods (Medical Device) Australia  Class IIb 35159 Regulations 2002 – Schedule 2 Brazil  Class  III Annex II, Resolution RDC 185/2001 35159 Table 1: HAL Device Classification HAL 4.0 Device Description Revision Doc Number 1.0 D58308"
medical device classification criteria by FDA,0.4831759,0.473008603,D93257 Halcyon Evolve User Assistance Plan Rev02.docx.pdf,D93257,2,10,2. User Assistance Deliverables > 2.2 Regulatory Requirements – Medical Devices > 2.2.1 Medical Device Classification,5,"Halcyon, or Halcyon Evolve, is a Class II Medical Device."
medical device classification criteria by FDA,0.46059215,0.396686882,D45070 Hal 4 Applicable Product Standards Rev 2.docx.pdf,D45070,2,8,2. Standards Evaluation > 2.1.1  Applicable Standards,6,"The Quality System and Process Standards and Regulations below apply to medical devices: # Applicable/ Not Applicable Document Identifier Title Evidence Tested by Comments/ Justification 2.1 -01 x Applicable  Not Applicable MDD/93/42/EEC  EU Medical Devices Directive (including the M5 Amendments of 2007) International Submission Dossier, LL00000205 Item is not tested, it is verified by following SOPs Following Varian procedures ensures compliance with this standard. There are no separate test reports specific to the product being evaluated. x Applicable 2.1 -  Not Applicable 02 CMDR SOR/98-282 Health Canada Medical Devices Regulations Health Canada Safety Effectiveness and Labeling Requirements, L4376 Item is not tested, it is verified by following SOPs Following Varian procedures ensures compliance with this standard. There are no separate test reports specific to the product being evaluated. x Applicable 2.1 -  Not Applicable 03 21 CFR part 801 Labeling [FDA medical device"
medical device classification criteria by FDA,0.4088077,0.414080709,D45070 Hal 4 Applicable Product Standards Rev 2.docx.pdf,D45070,2,156,1. Usability,94,"(a) (Medical Device Use-Safety: Incorporating Human Factors Engineering into Risk Management. - CDRH July 18, 2000  (www.fda.gov/MedicalDevices) (b) (Do it by Design: An Introduction to Human Factors in Medical Devices - CDRH December 1996 (www.fda.gov/MedicalDevices) (c) Draft Guidance for Industry and Food and Drug Administration Staff - Applying Human Factors and Usability Engineering to Optimize Medical Device Design https://www.fda.gov/downloads/MedicalDevices/.../UCM259760.pdf"
medical device classification criteria by FDA,0.39198765,0.412074864,D58308 HAL 4.0 Device Description Rev 1.0.docx.pdf,D58308,1,84,12 mm > 2.10 Principal Safety Features > 2.10.1 Compliance to International Safety Standards,30,"HAL has been designed to meet the following international product safety standards: Document Identifier Title MDR 2017/745 Medical Device Regulation CMDR SOR/98-282 Health Canada Medical Devices Regulations 21 CFR part 801 Labeling [FDA medical device labeling regulation] 21 CFR part 803 Medical Device Reporting [FDA regulation, U.S.] 21 CFR part 806 Medical Devices: Reports of Corrections & Removals [FDA regulation, U.S.] 21 CFR part 807 Establishment Registration and Device Listing for Manufacturers and Initial Importers of Devices [FDA regulation, U.S.] EN ISO 13485:2016 Quality management systems. Requirements for regulatory purposes [Certified QMS supports EU CE marking regulation and Health Canada] MDSAP Medical Device Single Audit Program EN ISO 14971:2019 Medical devices - Application of risk management to medical devices ISO 15223-1:2016 Medical devices - Symbols to be used with medical device labels, labelling and information to be supplied - Part 1: General requirements"
medical device classification criteria by FDA,0.3761647,0.413820833,D59555 HAL 4.0 Risk Management Plan rev03.pdf,D59555,3,26,6.0 Criteria for Risk Acceptability,8-9,"The criteria defined in the Medical Device Risk Management instruction are presented in Table 4. These are the criteria for residual risk acceptability for HAL 4.0 unless other criteria have been defined, documented, and approved by top management. Table 4: Criteria for residual risk acceptability Frequent 5      High Probable 4      Medium Occasional 3      Low Remote 2 Improbable 1 1 Negligible 2 Minor 3 Serious 4 Critical 5 Catastrophic Residual Risk Acceptability High Risk is unacceptable Medium Risks resulting from Single Fault Conditions or Use Error which could likely result in serious injury or death when a trained and qualified operator uses the product as directed, are not accepted for a release of the device. Risk is acceptable ONLY if a benefit-risk analysis indicates the benefits outweigh the residual risk and the risk is reduced AFAP including warning for risks with serious and greater severity in accompanying documents HAL 4.0 Risk Management Plan Revision Doc Number 03"
medical device classification criteria by FDA,0.36897394,0.397120148,D47457 HAL 4.0 APS Record Rev 04.docx.pdf,D47457,4,20,3.0 Summary of Applicable Standards and Guidance documents > 3.1 Applicable Standards (Continued),9,"ISO 10993-2N/A2022Biological evaluation of medical devices. – Part 2: Animal welfare requirements Product Compliance Internal Report/ Certification FDA Recognized Consensus Standard 3.1.18 Applicable ISO 10993-3N/A2014Biological evaluation of medical devices – Part 3: Tests for genotoxicity, carcinogenicity and reproductive toxicity Product Compliance Internal Report/ Certification FDA Recognized Consensus Standard 3.1.19 Applicable ISO 10993-4EN2017Biological evaluation of medical devices - Part 4: Selection of tests for interactions with blood Product Compliance Internal Report/ Certification FDA Recognized Consensus Standard Conformity with EN standard demonstrates compliance with EU MDR 3.1.20 Applicable ISO 10993-5 N/A 2009Biological evaluation of medical devices – part 5: Tests for in vitro cytotoxicity Product Compliance 3rd Party Report/ Certification FDA Recognized Consensus Standard 3.1.21 Applicable"
medical device classification criteria by FDA,0.35521552,0.397756398,D70060 HAL 4.0 GSPR Checklist Rev2.docx.pdf,D70060,2,17,2. Canada Medical Device Regulations (CMDR) – 2024-12-14 (Continued),7,"way as to ensure that the characteristics and performance requirements referred to in Chapter I are fulfilled. Particular attention shall be paid to: a) the choice of materials and substances used, particularly as regards toxicity and, where relevant, flammability; b) the compatibility between the materials and substances used and biological tissues, cells and body fluids, taking account of the intended purpose of the device and, where relevant, absorption, distribution, metabolism and excretion; c) the compatibility between the different parts of a device which consists of more than one implantable part; d) the impact of processes on material properties; e) where appropriate, the results of biophysical or modelling research the validity of which has been demonstrated beforehand; f) the mechanical properties of the materials used, reflecting, where appropriate, matters such as strength, ductility, fracture resistance, wear resistance and fatigue resistance; g) surface properties; and"
medical device classification criteria by FDA,0.34875605,0.406387955,D67731 HAL 4.0 Design History File Index Rev 05.docx.pdf,D67731,5,134,2. Design History File Index > 2.11 Regulatory (Continued),55,D59836 D59836 HAL Market History Rev 3.0 HAL 4.0 3.0 D74625-AU-Classification_Linear_Accelerator_Halcyon Rev 01.pdf D74625 01 HAL 4.0 D74310 HAL 4.0-Medical Device Classification for United States Rev 01.pdf D74310 01 HAL 4.0 D74311 HAL 4.0 Medical Device Classification for Canada Rev 01.pdf D74311 01 HAL 4.0 D74481 D74481 HAL 4.0 Medical Device Classification for Japan (Intended for Hardware or HAL 4.0 01 Combined Hardware-Software Devices) Rev 01.pdf D74442 - HAL 4.0 - Medical Device Classification for Brazil Rev 01.pdf D74442 01 HAL 4.0 D72976 D72976 HAL4.0 IEC 60601-2-1(2020) 201.10.101.1.2 - Independent termination system HAL 4.0 02 (ITS) Report Rev 02.pdf D74020 D74020 Halcyon 4.0 End-to-end evaluation for HyperSight CBCT-based and CT-based HAL 4.0 01 clinical plans Review Report Rev01.docx D74020 D74020 Halcyon 4.0 End-to-end evaluation for HyperSight CBCT-based and CT-based HAL 4.0 02 clinical plans Review Report Rev02.docx D75417 01 HAL 4.0
