sub_query,rerank_score,score,source,document_id,revision,chunk_index,title,page,text_content
unique identifier and serial number system for each device,0.73354733,0.330183327,D58308 HAL 4.0 Device Description Rev 1.0.docx.pdf,D58308,1,6,1.0 Executive Summary > 1.2 Device Classification > 1.3.2 Unique Device Identifier,4,The UDI-DI of this device:  Basic UDI-DI for EU MDR compliance : 089947500200108PQ  Model UDIs for HAL 4.0: o Halcyon – 4.000857235006075 o Ethos Radiotherapy System – 4.000857235006099
unique identifier and serial number system for each device,0.16968088,0.308274984,D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,43,6. The MSO shall only be used to power the console cabinet (Continued),33,"No such parts N/A RISK MANAGEMENT FILE includes an assessment of the RISKS relating to misidentification of all detachable parts…………………………………..: (ISO 14971 Cl. 5.2-5.5, 6, 7.3) No such parts N/A Detachable components of the ME EQUIPMENT are marked with the name or trademark of the MANUFACTURER, and No such parts N/A – a MODEL OR TYPE REFERENCE No such parts N/A Software forming part of a PEMS identified with a unique identifier…………………………………..: Software version is identified on the GUI of the console P Symbol 11 on Table D.1  used, optionally, 7.2.3 advice to OPERATOR to consult ACCOMPANYING DOCUMENTS P SAFETY SIGN 10 on Table D.2) used, advising OPERATOR that ACCOMPANYING DOCUMENTS must be consulted P ACCESSORIES marked with name or trademark 7.2.4 and contact information of their MANUFACTURER, and ………………………………………………….: No such parts N/A - with a MODEL or TYPE REFERENCE  N/A – a serial number or lot or batch identifier  N/A – the date of manufacture or use by date  N/A"
unique identifier and serial number system for each device,0.16749083,0.26837185,104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,466,4 Supply voltage: (Continued),296-297,"(RMR) Rev 13. The RMR identifies whether added risk control measures are needed. Device records (Appendix B): D56979 HAL 4.0 Risk Management Report rev02.pdf P 7.4.3 [B, C] The MANUFACTURER performs relevant RISK MANAGEMENT ACTIVITIES defined in 7.1, 7.2 and 7.3 based on these analyses Procedures used (Appendix A): RSK01 Medical Device Risk Management Rev 07 specifies the RSK0101T02 Risk Management Report (RMR) Rev 13. The RMR identifies whether added risk control measures are needed. Device records (Appendix B): D56979 HAL 4.0 Risk Management Report rev02.pdf P — 8 SOFTW ARE CONFIGURATION MANAGEMENT PROCESS 8.1 Configuration identification— Page 296 of 365                     Report No. 104993953MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1S Attachment - Software – IEC 62304:2006 — 8.1.1 [A, B, C] The MANUFACTURER establishes a scheme for the unique identification of CONFIGURATION ITEMS and their VERSIONS to be controlled for the project."
unique identifier and serial number system for each device,0.14608724,0.288416445,D47457 HAL 4.0 APS Record Rev 04.docx.pdf,D47457,4,77,3.0 Summary of Applicable Standards and Guidance documents > 3.1 Applicable Standards (Continued),30,"Fundamental requirements for Unique device identifier GPL  Label or LabellingIt is a UDI requirement for China (similar to GS1) Following Varian procedures ensures compliance with this standard. No report is required. 3.1.143 Not Applicable GB 9254 2008 信息技术设备的无线电骚扰限值和测量方法 Information technology equipment – Radio disturbance characteristics – Limits and methods of measurement China RA  3rd Party Report/ Certification MC standard for ITE but not for ME. Product will be tested as a system with YY 9706.102-2021, no need to test IT parts separately with GB 9254. 3.1.144 Applicable YY/T 0741 2018 数字化摄影X 射线机专用技术条件 Particular specifications for digital X-ray radiography system Product Compliance 3rd Party Report/ Certification This standard is listed in X-Ray IGRT Registration Guidance PTR template. 1) This standard includes particular specifications for Digital X-ray Radiography Systems. 2) It requires manufacturers to disclose X-ray electrical power(maximum output electric power and nominal"
unique identifier and serial number system for each device,0.1431877,0.332102954,D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,470,6. The MSO shall only be used to power the console cabinet (Continued),284-285,"Procedures used: RSK01 Medical Device Risk Management specifies the RSK0101T02 Risk Management Report (RMR). The RMR identifies whether added risk control measures are needed. Device records: D56979 HAL 4.0 Risk Management Report P 8 SOFTWARE CONFIGURATION MANAGEMENT PROCESS — 8.1 Configuration identification — 8.1.1 [A, B, C] The MANUFACTURER establishes a scheme for the unique identification of CONFIGURATION ITEMS and their VERSIONS to be controlled according to the development and configuration planning specified in 5.1 Procedures used: DND19 Software Configuration Management Procedure requires identification, including detailed version number Configuration management is documented in the DND04T01 Design and Development Plan (DDP) Device records: D45739 HAL 4.0 Design and Development Plan P 8.1.2 [A, B, C] For each SOUP CONFIGURATION ITEM being used, including standard libraries, the MANUFACTURER documents: P Page 285 of 352                           Report No.106485676MIN-001"
unique identifier and serial number system for each device,0.0921962,0.332767457,D68599 Hal 4.0 Design Verification Trace Matrix Rev 02.pdf,D68599,2,957,6. (Subsys) IMG – Imaging (Continued),293-294,"EV (121012,DCM, “Device Observer UID”) {Machine Class UID Prefix}.1{Encoded Device Serial Number} Machine Class UID Prefix: UID prefix per machine class (e.g. TrueBeam, C3) as defined in the Connectivity SyRS Encoded Device Serial Number: Stringed list of ASCII code representations of every character of the Device Serial Number (three digits, leading zero's). Device Serial Number is supposed to contain ASCII characters only. Example: Device Serial Number: SN1004 Encoded Device Serial Number: 083078049048048052 Hal 4.0 Design Verification Trace Matrix This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last e- D68599 02 Sign Format DND01T01 Rev 02   Page 294 of 735 EV (121013,DCM, “Device Observer Name”) Machine ID of the acquisition device The Machine ID as configured in System Administration."
unique identifier and serial number system for each device,0.091220066,0.262423098,D68372 Halcyon Pump Contamination Inspection Plan and Procedure Review Report - Rev 01.pdf,D68372,1,28,6. Each sample must have a unique identifier. (Continued),13,"Halcyon Pump Contamination Inspection Plan and Procedure - Review Report This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last D68372 01 e-Sign DND07F12 Rev 01   Page 13 of 17 Date SN Location Bacterial ID Fungal ID Notes 03 May SN008 2019 Las Vegas, NV Cupriavidus necator/ Cupriavidus numazuensis • Cannot be differentiated by primers Cellulomonas pakistanensis Microbacterium neimengense Pseudomonas hibiscicola Fusarium oxysporum Fusarium solani/Fusarium petroliphilum • Cannot be differentiated by primers No yeast or other mold morphologies detected AEMTEK (DNA SEQUENCING) As above 20 June SN008 2019 Las Vegas, NV Microbacterium neimengense/binotii Sphingomonas leidyi Chryseobacterium indoltheticum Variovorax boronicumulans • Fusarium oxysporum • Aspergillus terreus • Purpureocillium lilacinum • Fusarium petrophilum/Fusarium"
unique identifier and serial number system for each device,0.08151976,0.274325669,104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,45,6. The MSO shall only be used to power the console cabinet (Continued),37-38,"detachable parts .................................................. (ISO 14971 Cl. 4.2-4.4, 5, 6.4) No such parts N/A Detachable components of the ME EQUIPMENT are marked with the name or trademark of the MANUFACTURER, and No such parts N/A – a MODEL OR TYPE REFERENCE No such parts N/A Software forming part of a PEMS identified with a unique identifier................................................. Software version is identified on the GUI of the console P Page 37 of 365                     Report No. 104993953MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1S Symbol 11 on Table D.1  used, optionally, 7.2.3 advice to OPERATOR to consult ACCOMPANYING DOCUMENTS P Safety sign 10 on Table D.2) used, advising OPERATOR that ACCOMPANYING DOCUMENTS must be consulted P ACCESSORIES marked with name or trademark 7.2.4 and contact information of their MANUFACTURER, and .......................................................................... N/A"
unique identifier and serial number system for each device,0.07654563,0.259112716,D58308 HAL 4.0 Device Description Rev 1.0.docx.pdf,D58308,1,106,12 mm > 2.10 Principal Safety Features > 2.10.1 Compliance to International Safety Standards (Continued),40,"YY/T 0466.1-2016 (identical to ISO 15223-1:2012) 医疗器械  用于医疗器械标签、标记和提供信息的符号 第 1 部分：通用要求 Medical devices—Symbols to be used with medical device labels, labelling and information to be supplied—Part 1:General requirements YY/T 0466.2-2015 (identical to ISO 15223-2:2010) 医疗器械 用于医疗器械标签、标记和提供信息的符号 第 2 部分：符号的制订、选择和确 认 Medical devices -- Symbols to be used with medical device labels, labelling, and information to be supplied -- Part 2: Symbol development, selection and validation YY/T 1630-2018 医疗器械唯一标识基本要求 Fundamental requirements for Unique device identifier YY/T 1738—2020 医用电气设备能耗测量方法 Energy consumption measurement methods of medical electrical equipment YY/T 1711-2020 放射治疗用门控接口 Gating interface used in radiation therapy GB9254-2008(identical to CISPR 22:2006) 信息技术设备的无线电骚扰限值和测量方法 标准 Information technology equipment - Radio disturbance characteristics - Limits and methods of measurement GB17625.1-2012 电磁兼容 限值 谐波电流发射限值(设备每相输入电流≤16 A)"
unique identifier and serial number system for each device,0.0751764,0.27838251,D68599 Hal 4.0 Design Verification Trace Matrix Rev 02.pdf,D68599,2,967,6. (Subsys) IMG – Imaging (Continued),302-303,"DTID (1004) Device observer identifying attributes See TID 1004 further below TID 1003 (Person Observer Identifying Attributes) EV (121008,DCM, “Person Observer Name”) Name of the operator who performed the acquisition Name of the logged-in OSP/Shared Framework user TID 1004 (Device Observer Identifying Attributes) EV (121012,DCM, “Device Observer UID”) {Machine Class UID Prefix}.1{Encoded Device Serial Number} Machine Class UID Prefix: UID prefix per machine class (e.g. TrueBeam, C3) as defined in the Connectivity SyRS Encoded Device Serial Number: Stringed list of ASCII code representations of every character of the Device Serial Number (three digits, leading zero's). Device Serial Number is supposed to contain ASCII characters only. Example: Device Serial Number: SN1004 Hal 4.0 Design Verification Trace Matrix This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written"
